HEIGHT,WEIGHT,COUNTRY,LAST ATTENDED,BIRTHDATE,DRAFT,EXPERIENCE,DRAFT,BIRTHDATE,COUNTRY,LAST ATTENDED,EXPERIENCE,name,id
"6'10"" (2.08m)",240lb (109kg),USA,Duke,"June 24, 1968",1990 R1 Pick 25,5 Years,1990 R1 Pick 25,"June 24, 1968",USA,Duke,5 Years,Alaa Abdelnaby,76001
"6'9"" (2.06m)",235lb (107kg),USA,Iowa State,"April 7, 1946",1968 R1 Pick 5,10 Years,1968 R1 Pick 5,"April 7, 1946",USA,Iowa State,10 Years,Zaid Abdul-Aziz,76002
"7'2"" (2.18m)",225lb (102kg),USA,UCLA,"April 16, 1947",1969 R1 Pick 1,20 Years,1969 R1 Pick 1,"April 16, 1947",USA,UCLA,20 Years,Kareem Abdul-Jabbar,76003
"6'1"" (1.85m)",162lb (73kg),USA,Louisiana State,"March 9, 1969",1990 R1 Pick 3,9 Years,1990 R1 Pick 3,"March 9, 1969",USA,Louisiana State,9 Years,Mahmoud Abdul-Rauf,51
"6'6"" (1.98m)",235lb (107kg),France,San Jose State,"November 3, 1974",1997 R1 Pick 11,7 Years,1997 R1 Pick 11,"November 3, 1974",France,San Jose State,7 Years,Tariq Abdul-Wahad,1505
"6'9"" (2.06m)",245lb (111kg),USA,California,"December 11, 1976",1996 R1 Pick 3,13 Years,1996 R1 Pick 3,"December 11, 1976",USA,California,13 Years,Shareef Abdur-Rahim,949
"6'7"" (2.01m)",220lb (100kg),USA,Indiana,"May 6, 1954",1976 R3 Pick 43,5 Years,1976 R3 Pick 43,"May 6, 1954",USA,Indiana,5 Years,Tom Abernethy,76005
"6'3"" (1.91m)",180lb (82kg),USA,Western Kentucky,"July 27, 1932",1956,1 Year,1956,"July 27, 1932",USA,Western Kentucky,1 Year,Forest Able,76006
"6'3"" (1.91m)",195lb (88kg),USA,Salem,"February 9, 1919",Undrafted,2 Years,Undrafted,"February 9, 1919",USA,Salem,2 Years,John Abramovic,76007
"6'6"" (1.98m)",200lb (91kg),Spain,FC Barcelona,"August 1, 1993",2013 R2 Pick 32,3 Years,2013 R2 Pick 32,"August 1, 1993",Spain,FC Barcelona,3 Years,Alex Abrines,203518
"6'8"" (2.03m)",243lb (110kg),Nigeria,Memphis,25 years,"September 19, 1999",2020 R1 Pick 20,4 Years,2020 R1 Pick 20,"September 19, 1999",Nigeria,Memphis,4 Years,Precious Achiuwa,1630173
"6'5"" (1.96m)",185lb (84kg),USA,Pepperdine,"January 21, 1983",2005 R2 Pick 60,3 Years,2005 R2 Pick 60,"January 21, 1983",USA,Pepperdine,3 Years,Alex Acker,101165
"6'0"" (1.83m)",183lb (83kg),USA,Long Island-Brooklyn,"September 4, 1930",1953,1 Year,1953,"September 4, 1930",USA,Long Island-Brooklyn,1 Year,Donald Ackerman,76008
"6'11"" (2.11m)",220lb (100kg),USA,Oral Roberts,"November 15, 1962",1985 R2 Pick 40,6 Years,1985 R2 Pick 40,"November 15, 1962",USA,Oral Roberts,6 Years,Mark Acres,76009
"6'6"" (1.98m)",210lb (95kg),USA,Hillsdale,"January 11, 1942",Undrafted,1 Year,Undrafted,"January 11, 1942",USA,Hillsdale,1 Year,Charles Acton,76010
"6'7"" (2.01m)",240lb (109kg),USA,Baylor,"October 6, 1990",2012 R2 Pick 37,7 Years,2012 R2 Pick 37,"October 6, 1990",USA,Baylor,7 Years,Quincy Acy,203112
"6'9"" (2.06m)",210lb (95kg),USA,Oklahoma,"July 19, 1954",1975 R1 Pick 4,13 Years,1975 R1 Pick 4,"July 19, 1954",USA,Oklahoma,13 Years,Alvan Adams,76011
"6'7"" (2.01m)",210lb (95kg),USA,Northwestern,"November 27, 1947",1970 R8 Pick 120,7 Years,1970 R8 Pick 120,"November 27, 1947",USA,Northwestern,7 Years,Don Adams,76012
"6'4"" (1.93m)",220lb (100kg),USA,Arizona,"June 20, 1984",2006 R2 Pick 54,2 Years,2006 R2 Pick 54,"June 20, 1984",USA,Arizona,2 Years,Hassan Adams,200801
"6'0"" (1.83m)",225lb (102kg),USA,St. Bonaventure,"May 4, 1996",Undrafted,3 Years,Undrafted,"May 4, 1996",USA,St. Bonaventure,3 Years,Jaylen Adams,1629121
"6'5"" (1.96m)",209lb (95kg),USA,UCLA,"July 8, 1994",2014 R1 Pick 22,3 Years,2014 R1 Pick 22,"July 8, 1994",USA,UCLA,3 Years,Jordan Adams,203919
"5'10"" (1.78m)",165lb (75kg),USA,Boston College,"January 19, 1963",1985 R3 Pick 66,11 Years,1985 R3 Pick 66,"January 19, 1963",USA,Boston College,11 Years,Michael Adams,149
